,label,sire,dam,gene
9782,3321241,3214096,3214096,60
9812,4150508,3985992,3985992,60
9824,4150021,3985667,3985667,60
9836,4150361,3985935,3985935,60
9873,4150025,3985668,3985668,60
9914,4150351,3985930,3985930,60
9947,2173544,1003246,1003246,60
9980,4153377,3987815,3987815,60
10038,4150473,3985943,3985943,60
10106,4153251,3987790,3987790,60
10206,4150353,3985930,3985930,60
10376,3321664,3215180,3215180,60
10393,3320472,3212534,3212534,60
10534,4153379,3987817,3987817,60
10573,3320462,3212522,3212522,60
10577,3320496,3212569,3212569,60
10621,4150459,3985939,3985939,60
10633,3320480,3212545,3212545,60
10639,4150492,3985987,3985987,60
10664,4153357,3987806,3987806,60
10699,2214662,2056595,2056595,60
10711,4150342,3985928,3985928,60
10721,4150304,3985911,3985911,60
10729,4153221,3987779,3987779,60
10747,4150007,3985659,3985659,60
10754,4153432,3987849,3987849,60
10773,4153363,3987810,3987810,60
10800,4609215,4609026,4609026,60
10811,3320489,3212561,3212561,60
10855,4150471,3985942,3985942,60
10866,4510489,4510384,4510384,60
10922,4153217,3987779,3987779,60
10923,4150533,3986001,3986001,60
10970,4153230,3987783,3987783,60
11048,4150468,3985941,3985941,60
11069,4153218,3987779,3987779,60
11110,4150496,3985987,3985987,60
11131,4153220,3987779,3987779,60
11244,4150469,3985942,3985942,60
11286,4153219,3987779,3987779,60
11365,4153085,3987759,3987759,60
11408,4150503,3985991,3985991,60
11507,4609260,4609025,4609025,60
11594,4150328,3985922,3985922,60
11644,4465089,4017978,4017978,60
11669,4465079,4017985,4017985,60
11682,2427913,2322326,2322326,60
11705,3006182,2869368,2869368,60
11723,3582067,2063614,2063614,60
11861,2756998,2624767,2624767,60
12029,3020663,2573005,2573005,60
12278,300000559,300000514,300000514,60
12356,1111266,1020015,1020015,60
12497,2641261,2468650,2468650,60
13128,1111251,1019998,1019998,60
13326,2641273,2468665,2468665,60
14998,3427347,3276252,3276252,60
15105,2696468,2640260,2640260,60
15158,3768567,3767599,3767599,60
15172,3281584,3117552,3117552,60
15177,3768694,3767726,3767726,60
15189,3768492,3767524,3767524,60
15231,3768597,3767629,3767629,60
15254,3348838,3220780,3220780,60
15311,3768537,3767569,3767569,60
15327,3768648,3767680,3767680,60
15328,3768678,3767710,3767710,60
15345,3768638,3767670,3767670,60
15349,3768495,3767527,3767527,60
15355,3768615,3767647,3767647,60
15391,3426505,3274792,3274792,60
15420,4099235,3949340,3949340,60
15438,3768697,3767729,3767729,60
15441,3768574,3767606,3767606,60
15471,3768503,3767535,3767535,60
15529,3768633,3767665,3767665,60
15541,3768585,3767617,3767617,60
15595,3768486,3767518,3767518,60
15608,3768485,3767517,3767517,60
15696,3768636,3767668,3767668,60
15706,3768563,3767595,3767595,60
15741,3768605,3767637,3767637,60
15767,3085800,3040581,3040581,60
15783,3427320,3276210,3276210,60
15866,3768681,3767713,3767713,60
15945,3768572,3767604,3767604,60
16015,3768541,3767573,3767573,60
16017,3768549,3767581,3767581,60
16036,3768652,3767684,3767684,60
16062,3768497,3767529,3767529,60
16290,3768494,3767526,3767526,60
16305,3768654,3767686,3767686,60
16599,3768573,3767605,3767605,60
16638,3493212,3319990,3319990,60
17089,3768514,3767546,3767546,60
17117,3768489,3767521,3767521,60
17175,3768657,3767689,3767689,60
17189,3768560,3767592,3767592,60
17370,3768554,3767586,3767586,60
17384,3768647,3767679,3767679,60
17449,3768628,3767660,3767660,60
17456,3768542,3767574,3767574,60
17505,3768635,3767667,3767667,60
17545,3768529,3767561,3767561,60
17563,3219556,3026142,3026142,60
17592,3768496,3767528,3767528,60
17598,3427338,3276237,3276237,60
17624,3768511,3767543,3767543,60
17673,3768662,3767694,3767694,60
17702,3768507,3767539,3767539,60
17759,3427342,3276249,3276249,60
17813,3768488,3767520,3767520,60
17851,3768526,3767558,3767558,60
17904,3768589,3767621,3767621,60
17911,3768680,3767712,3767712,60
17936,3768581,3767613,3767613,60
